//(Note: The 'images' folder is assumed to be in the "/content/<course path>/" directory),,,,
//Question Text is always a required field,,,,
// An ID will be generated using the (Course code)-(Question number) if an ID is not specified for a question,,,,
,,,, 
// Please ensure that the CSV file is saved as "CSV UTF-8" encoded to ensure that non-ASCII characters like à, ø, é and other are able to be correctly imported,,,,
,,,, 
//MULTIPLE CHOICE QUESTION TYPE,,,,
//Question 1,,,,
NewQuestion,MC,,,
ID,RISK-081,,,
Title,Full System Restoration,,,
QuestionText,What is a key characteristic of full system restoration?,,,
Points,1,,,
Difficulty,2,,,
Option,0,It only restores individual files,,Incorrect. This describes file-level restoration.
Option,100,It reconstructs an entire system including operating system, applications, and data,,Correct! This is the defining characteristic.
Option,0,It's only used for testing,,Incorrect. Full restoration is used for actual recovery.
Option,0,It's faster than partial restoration,,Incorrect. Full restoration typically takes longer.
Hint,Think about what "full" system restoration would include,,,
Feedback,Full system restoration reconstructs an entire system including operating system, applications, configurations, and data,,,
,,,, 
//Question 2,,,,
NewQuestion,MC,,,
ID,RISK-082,,,
Title,Partial Restoration,,,
QuestionText,What is the main advantage of partial or selective recovery over full system restoration?,,,
Points,1,,,
Difficulty,3,,,
Option,0,It requires more time and resources,,Incorrect. This is a disadvantage.
Option,100,It minimizes restoration time and system disruption,,Correct! This is the primary advantage.
Option,0,It's more complex to implement,,Incorrect. Partial restoration is typically simpler.
Option,0,It requires more storage space,,Incorrect. It actually uses less storage for the restore process.
Hint,Think about when you might want to restore only part of a system,,,
Feedback,Partial restoration targets specific components, minimizing restoration time and system disruption,,,
,,,, 
//MULTISELECT QUESTION TYPE,,,,
//Question 3,,,,
NewQuestion,MS,,,
ID,RISK-083,,,
Title,Restoration Methodologies,,,
QuestionText,Which of the following are restoration methodologies discussed in the chapter? (Select all that apply),,,
Points,2,,,
Difficulty,3,,,
Option,100,Point-in-time restoration,,Correct. This enables recovery to specific moments in time.
Option,100,Prioritized restoration,,Correct. This recognizes that not all components share equal importance.
Option,100,Cross-platform restoration,,Correct. This involves recovering to different environments.
Option,0,Random restoration,,Incorrect. This is not a recognized methodology.
Option,0,Emotional restoration,,Incorrect. This is not related to backup restoration.
Hint,Think about different approaches to restoring backup data,,,
Feedback,Restoration methodologies include point-in-time, prioritized, and cross-platform restoration approaches,,,
,,,, 
//Question 4,,,,
NewQuestion,MC,,,
ID,RISK-084,,,
Title,File-level Testing,,,
QuestionText,What is the primary focus of file-level testing in backup validation?,,,
Points,1,,,
Difficulty,2,,,
Option,0,Testing the physical backup media,,Incorrect. This is media testing, not file-level.
Option,100,Confirming that individual files can be successfully restored with content integrity,,Correct! This is the main focus.
Option,0,Testing network connectivity to backup servers,,Incorrect. This is network testing.
Option,0,Testing the backup software user interface,,Incorrect. This is UI testing.
Hint,Think about what "file-level" testing would verify,,,
Feedback,File-level testing confirms that individual files can be successfully restored with content integrity intact,,,
,,,, 
//MULTISELECT QUESTION TYPE,,,,
//Question 5,,,,
NewQuestion,MS,,,
ID,RISK-085,,,
Title,System-level Testing,,,
QuestionText,Which aspects are verified during system-level testing of backups? (Select all that apply),,,
Points,2,,,
Difficulty,4,,,
Option,100,Operating system restoration,,Correct. This includes restoring the entire OS.
