//(Note: The 'images' folder is assumed to be in the "/content/<course path>/" directory),,,,
//Question Text is always a required field,,,,
// An ID will be generated using the (Course code)-(Question number) if an ID is not specified for a question,,,,
,,,,
// Please ensure that the CSV file is saved as "CSV UTF-8" encoded to ensure that non-ASCII characters like à, ø, é and other are able to be correctly imported,,,,
,,,,
//MULTIPLE CHOICE QUESTION TYPE,,,,
//Question 1,,,,
NewQuestion,MC,,,
ID,RISK-001,,,
Title,Understanding Risk Components,,,
QuestionText,According to the risk management framework, which formula best represents the relationship between risk components?,,,
Points,1,,,
Difficulty,3,,,
Option,100,Risk = Threat × Vulnerability × Impact,,This is correct. Risk is determined by the intersection of threats, vulnerabilities, and potential impact.
Option,0,Risk = Threat + Vulnerability + Impact,,Incorrect. Risk components multiply rather than add together.
Option,0,Risk = Threat - Vulnerability,,Incorrect. This formula doesn't account for impact and uses subtraction incorrectly.
Option,0,Risk = Impact / Threat,,Incorrect. This formula suggests an inverse relationship which is not accurate.
Hint,Think about how these components interact to create risk,,,
Feedback,Understanding the risk formula is fundamental to effective risk management,,,
,,,,
//Question 2,,,,
NewQuestion,MC,,,
ID,RISK-002,,,
Title,Risk Management Lifecycle Phases,,,
QuestionText,What are the four main phases of the risk management lifecycle in their correct order?,,,
Points,1,,,
Difficulty,2,,,
Option,100,"Identification, Assessment, Mitigation, Monitoring",,Correct! This is the standard risk management lifecycle sequence.
Option,0,"Assessment, Identification, Monitoring, Mitigation",,Incorrect. You must identify risks before you can assess them.
Option,0,"Mitigation, Assessment, Identification, Monitoring",,Incorrect. This order doesn't follow the logical flow of risk management.
Option,0,"Monitoring, Identification, Assessment, Mitigation",,Incorrect. Monitoring comes after implementing controls, not before.
Hint,Consider the logical flow - you must know what exists before you can evaluate it,,,
Feedback,The risk management lifecycle is a continuous process that starts with identification,,,
,,,,
//Question 3,,,,
NewQuestion,MC,,,
ID,RISK-003,,,
Title,STRIDE Threat Categories,,,
QuestionText,In the STRIDE threat modeling methodology, what does the 'R' stand for?,,,
Points,1,,,
Difficulty,2,,,
Option,0,Risk,,Incorrect. STRIDE doesn't include Risk as a category.
Option,100,Repudiation,,Correct! Repudiation refers to denying actions without proof.
Option,0,Redundancy,,Incorrect. Redundancy is not part of STRIDE.
Option,0,Recovery,,Incorrect. Recovery is not a STRIDE category.
Hint,This threat involves users denying they performed certain actions,,,
Feedback,Repudiation threats occur when users can deny actions without the system having proof,,,
,,,,
//Question 4,,,,
NewQuestion,MC,,,
ID,RISK-004,,,
Title,Asset Classification Factors,,,
QuestionText,Which of the following is NOT typically considered when classifying information assets?,,,
Points,1,,,
Difficulty,4,,,
Option,0,Sensitivity of the data,,This IS considered - sensitivity is a key classification factor.
Option,0,Regulatory requirements,,This IS considered - compliance requirements affect classification.
Option,0,Potential impact of unauthorized disclosure,,This IS considered - impact assessment is crucial for classification.
Option,100,Physical location of the storage device,,Correct! While location matters for security, it's not a primary classification factor.
Hint,Classification focuses on the nature and importance of information rather than physical attributes,,,
Feedback,Asset classification is based on sensitivity, criticality, and regulatory requirements, not physical location,,,
,,,,
//Question 5,,,,
NewQuestion,MC,,,
ID,RISK-005,,,
Title,DREAD Methodology Components,,,
