//(Note: The 'images' folder is assumed to be in the "/content/<course path>/" directory),,,,
//Question Text is always a required field,,,,
// An ID will be generated using the (Course code)-(Question number) if an ID is not specified for a question,,,,
,,,, 
// Please ensure that the CSV file is saved as "CSV UTF-8" encoded to ensure that non-ASCII characters like à, ø, é and other are able to be correctly imported,,,,
,,,, 
//MULTIPLE CHOICE QUESTION TYPE,,,,
//Question 1,,,,
NewQuestion,MC,,,
ID,RISK-061,,,
Title,Backup Scheduling Importance,,,
QuestionText,Why is automation important for backup systems?,,,
Points,1,,,
Difficulty,2,,,
Option,0,It makes backups more expensive,,Incorrect. Automation typically reduces costs.
Option,100,It ensures backups occur reliably according to predefined schedules,,Correct! Automation solves issues with human error and inconsistency.
Option,0,It eliminates the need for backup storage,,Incorrect. Automation doesn't eliminate storage needs.
Option,0,It makes backups run slower,,Incorrect. Automation typically improves efficiency.
Hint,Think about what problems manual backups introduce,,,
Feedback,Automation ensures backups occur reliably according to predefined schedules, eliminating human error and inconsistency,,,
,,,, 
//Question 2,,,,
NewQuestion,MC,,,
ID,RISK-062,,,
Title,Full Backup Timing,,,
QuestionText,When are full backups typically scheduled for optimal performance?,,,
Points,1,,,
Difficulty,3,,,
Option,0,During peak business hours,,Incorrect. This would impact operations.
Option,100,During periods of low system activity,,Correct! Full backups require significant resources.
Option,0,Randomly throughout the week,,Incorrect. This wouldn't be efficient.
Option,0,Only on weekends regardless of system load,,Incorrect. Timing should consider system activity.
Hint,Think about when system resources are most available,,,
Feedback,Full backups are typically scheduled during periods of low system activity, such as weekends or after business hours,,,
,,,, 
//MULTISELECT QUESTION TYPE,,,,
//Question 3,,,,
NewQuestion,MS,,,
ID,RISK-063,,,
Title,Backup Automation Features,,,
QuestionText,Which features are typically part of advanced backup automation? (Select all that apply),,,
Points,2,,,
Difficulty,4,,,
Option,100,Dependency checks to verify prerequisite conditions,,Correct. These ensure conditions are met before backup.
Option,100,Notification systems for backup status,,Correct. These alert administrators to completion or failures.
Option,100,Policy-based management for cloud backups,,Correct. This automates based on defined policies.
Option,0,Manual initiation for every backup,,Incorrect. This would defeat the purpose of automation.
Option,0,Random backup scheduling,,Incorrect. Automation uses predefined schedules.
Hint,Think about what makes backup automation sophisticated,,,
Feedback,Advanced backup automation includes dependency checks, notification systems, and policy-based management,,,
,,,, 
//Question 4,,,,
NewQuestion,MC,,,
ID,RISK-064,,,
Title,Retention Policy Purpose,,,
QuestionText,What is the primary purpose of backup retention policies?,,,
Points,1,,,
Difficulty,2,,,
Option,0,To increase storage costs,,Incorrect. Good retention policies optimize costs.
Option,100,To balance storage costs against potential need for historical data,,Correct! This is the key purpose.
Option,0,To eliminate all historical backups,,Incorrect. This would reduce recovery options.
Option,0,To keep every backup forever,,Incorrect. This would be cost-prohibitive.
Hint,Think about the balance between cost and recovery needs,,,
Feedback,Retention policies balance storage costs against the potential need to recover historical data,,,
,,,, 
//MULTISELECT QUESTION TYPE,,,,
//Question 5,,,,
NewQuestion,MS,,,
ID,RISK-065,,,
Title,Retention Policy Factors,,,
QuestionText,Which factors should be considered when designing retention policies? (Select all that apply),,,
Points,2,,,
Difficulty,3,,,
Option,100,Data criticality and regulatory requirements,,Correct. These determine how long data must be kept.
