//(Note: The 'images' folder is assumed to be in the "/content/<course path>/" directory),,,,
//Question Text is always a required field,,,,
// An ID will be generated using the (Course code)-(Question number) if an ID is not specified for a question,,,,
,,,, 
// Please ensure that the CSV file is saved as "CSV UTF-8" encoded to ensure that non-ASCII characters like à, ø, é and other are able to be correctly imported,,,,
,,,, 
//MULTIPLE CHOICE QUESTION TYPE,,,,
//Question 1,,,,
NewQuestion,MC,,,
ID,RISK-101,,,
Title,BIA vs BCP,,,
QuestionText,What is the primary difference between Business Impact Analysis (BIA) and Business Continuity Planning (BCP)?,,,
Points,1,,,
Difficulty,3,,,
Option,0,BCP is only for IT systems while BIA is for business functions,,Incorrect. Both address business functions.
Option,100,BIA identifies critical functions and impacts while BCP develops strategies to maintain them,,Correct! This is the key distinction.
Option,0,BIA is more technical while BCP is more business-focused,,Incorrect. Both have business and technical elements.
Option,0,BIA is conducted annually while BCP is continuous,,Incorrect. Both should be ongoing activities.
Hint,Think about the purpose of each activity in the continuity planning process,,,
Feedback,BIA identifies critical functions and their impacts, while BCP develops strategies to maintain those functions during disruptions,,,
,,,, 
//Question 2,,,,
NewQuestion,MC,,,
ID,RISK-102,,,
Title,BIA Process,,,
QuestionText,What is typically the first step in the Business Impact Analysis process?,,,
Points,1,,,
Difficulty,2,,,
Option,0,Quantifying financial impacts,,Incorrect. This comes later in the process.
Option,100,Comprehensive function identification,,Correct! This catalogs all significant organizational activities.
Option,0,Establishing recovery objectives,,Incorrect. This comes after impact analysis.
Option,0,Developing continuity strategies,,Incorrect. This is part of BCP, not the initial BIA step.
Hint,Think about what you need to do before analyzing impacts,,,
Feedback,The BIA process begins with comprehensive function identification—cataloging all significant activities the organization performs,,,
,,,, 
//MULTISELECT QUESTION TYPE,,,,
//Question 3,,,,
NewQuestion,MS,,,
ID,RISK-103,,,
Title,BIA Impact Categories,,,
QuestionText,Which categories of impact are typically assessed in a Business Impact Analysis? (Select all that apply),,,
Points,2,,,
Difficulty,3,,,
Option,100,Financial impact,,Correct. This examines direct monetary losses.
Option,100,Operational impact,,Correct. This assesses effects on internal capabilities.
Option,100,Reputational impact,,Correct. This evaluates potential damage to organizational standing.
Option,100,Regulatory and compliance impact,,Correct. This examines legal consequences.
Option,0,Employee lunch preferences,,Incorrect. This is not a standard BIA impact category.
Hint,Think about the different ways a disruption could affect an organization,,,
Feedback,BIA typically assesses financial, operational, reputational, and regulatory/compliance impacts,,,
,,,, 
//Question 4,,,,
NewQuestion,MC,,,
ID,RISK-104,,,
Title,RTO Definition,,,
QuestionText,What does Recovery Time Objective (RTO) specify?,,,
Points,1,,,
Difficulty,2,,,
Option,0,The maximum acceptable data loss measured in time,,Incorrect. This describes RPO.
Option,100,The maximum acceptable time between function disruption and restoration,,Correct! This is the definition of RTO.
Option,0,The time needed to create a backup,,Incorrect. This is backup window planning.
Option,0,The time between security incidents,,Incorrect. This is unrelated to RTO.
Hint,Think about what "time" objective RTO refers to,,,
Feedback,RTO specifies the maximum acceptable time between function disruption and restoration,,,
,,,, 
//MULTISELECT QUESTION TYPE,,,,
//Question 5,,,,
NewQuestion,MS,,,
ID,RISK-105,,,
Title,RPO Definition,,,
