//(Note: The 'images' folder is assumed to be in the "/content/<course path>/" directory),,,,
//Question Text is always a required field,,,,
// An ID will be generated using the (Course code)-(Question number) if an ID is not specified for a question,,,,
,,,, 
// Please ensure that the CSV file is saved as "CSV UTF-8" encoded to ensure that non-ASCII characters like à, ø, é and other are able to be correctly imported,,,,
,,,, 
//MULTIPLE CHOICE QUESTION TYPE,,,,
//Question 1,,,,
NewQuestion,MC,,,
ID,RISK-181,,,
Title,Equifax Breach Vulnerability,,,
QuestionText,What was the primary vulnerability exploited in the Equifax breach?,,,
Points,1,,,
Difficulty,3,,,
Option,0,Weak passwords,,Incorrect. While password issues can be problematic, this wasn't the primary vulnerability.
Option,100,Unpatched Apache Struts vulnerability (CVE-2017-5638),,Correct! This was the initial entry point for attackers.
Option,0,Social engineering attack,,Incorrect. The breach didn't start with social engineering.
Option,0,Insider threat,,Incorrect. This was an external attack.
Hint,Think about what technical vulnerability allowed attackers initial access,,,
Feedback,The Equifax breach began when attackers exploited an unpatched Apache Struts vulnerability (CVE-2017-5638) that had been patched two months before the breach,,,
,,,, 
//Question 2,,,,
NewQuestion,MC,,,
ID,RISK-182,,,
Title,SolarWinds Attack Method,,,
QuestionText,How did attackers compromise the SolarWinds software supply chain?,,,
Points,1,,,
Difficulty,4,,,
Option,0,By directly hacking customer networks,,Incorrect. This was a supply chain attack.
Option,100,By inserting malicious code into legitimate software updates,,Correct! This was the core supply chain compromise.
Option,0,By purchasing the company,,Incorrect. This was a technical attack, not a business acquisition.
Option,0,By conducting a DDoS attack,,Incorrect. This was not a denial of service attack.
Hint,Think about what makes a supply chain attack different from direct attacks,,,
Feedback,Attackers inserted malicious code (SUNBURST backdoor) into legitimate SolarWinds Orion software updates, which were then automatically distributed to customers,,,
,,,, 
//MULTISELECT QUESTION TYPE,,,,
//Question 3,,,,
NewQuestion,MS,,,
ID,RISK-183,,,
Title,Target Breach Entry Point,,,
QuestionText,How did attackers initially gain access to Target's network in the 2013 breach? (Select all that apply),,,
Points,2,,,
Difficulty,4,,,
Option,100,By compromising a third-party HVAC vendor,,Correct. This was the initial entry point.
Option,100,Through stolen credentials from the vendor,,Correct. Attackers used legitimate credentials.
Option,100,By exploiting network segmentation weaknesses,,Correct. This allowed lateral movement.
Option,0,By directly hacking Target's website,,Incorrect. The initial access was through a third party.
Option,0,By physically accessing Target stores,,Incorrect. This was a remote attack.
Hint,Think about the role of third parties in this breach,,,
Feedback,Attackers initially compromised Fazio Mechanical Services, an HVAC vendor, and used stolen credentials to access Target's vendor portal,,,
,,,, 
//Question 4,,,,
NewQuestion,MC,,,
ID,RISK-184,,,
Title,Common Breach Pattern,,,
QuestionText,Which pattern appears consistently across major data breaches like Equifax, SolarWinds, and Target?,,,
Points,1,,,
Difficulty,3,,,
Option,0,All were caused by natural disasters,,Incorrect. These were security incidents, not natural disasters.
Option,100,Delayed patching of known vulnerabilities,,Correct! This is a common pattern across major breaches.
Option,0,All involved quantum computing attacks,,Incorrect. Quantum computing wasn't involved in these breaches.
Option,0,All were prevented by existing security controls,,Incorrect. Existing controls failed in these cases.
Hint,Think about what technical failure was common to these major incidents,,,
